location,year,class,env,plot,range,row,id,yield,sg,redness,lightness,roundness,lxw
Becker,2020,CHIPS,Becker_2020,1,1,1,Atlantic,51.747,1.063,21.65,32.05,0.971344791,1.196019665
Becker,2020,CHIPS,Becker_2020,2,2,1,MN18AF6643-10,43.948,1.049,13.4,45.9,0.981654615,1.055510882
Becker,2020,CHIPS,Becker_2020,3,3,1,MN18AF6643-12,50.933,1.055,22.65,44.5,0.975204853,1.097643909
Becker,2020,CHIPS,Becker_2020,4,4,1,MN18AF6643-13,48.288,1.066,12.5,43.7,0.973682794,NA
Becker,2020,CHIPS,Becker_2020,5,5,1,MN18AF6643-7,59.343,1.06,21.15,40.25,0.974516049,1.189355384
Becker,2020,CHIPS,Becker_2020,6,6,1,MN18AF6643-9,42.456,1.056,25.4,44.4,0.988732425,1.08045977
Becker,2020,CHIPS,Becker_2020,7,7,1,MN18AF6648-10,1.424,1.057,14.9,40.9,0.964585768,1.188956395
Becker,2020,CHIPS,Becker_2020,8,8,1,MN18AF6648-14,34.995,1.062,13.65,48.05,0.965843993,1.125802476
Becker,2020,CHIPS,Becker_2020,9,9,1,MN18AF6648-8,70.805,1.048,17.75,41.7,0.975229228,1.14806729
Becker,2020,CHIPS,Becker_2020,10,10,1,Atlantic,43.676,1.059,20.6,34.5,0.984819479,1.021923077
Becker,2020,CHIPS,Becker_2020,11,11,1,MN18AF6648-9,23.534,1.049,13.8,38.1,0.972325799,1.09236351
Becker,2020,CHIPS,Becker_2020,12,12,1,MN18AF6658-5,44.897,1.056,20.8,38.4,0.980079373,1.253115005
Becker,2020,CHIPS,Becker_2020,13,13,1,MN18AF6661-2,25.094,1.055,18.5,38.45,0.969442053,1.18847414
Becker,2020,CHIPS,Becker_2020,14,14,1,MN18AF6661-9,52.629,1.062,22.6,26.3,0.989261253,1.021533161
Becker,2020,CHIPS,Becker_2020,15,15,1,MN18AF6675-2,71.279,1.064,17.45,45.65,0.99386985,1.030917962
Becker,2020,CHIPS,Becker_2020,16,16,1,MN18AF6680-12,38.522,1.065,20.2,29.45,0.981823338,1.187157302
Becker,2020,CHIPS,Becker_2020,17,16,2,MN18AF6680-8,54.799,1.052,14.6,43.6,0.976122139,1.155480103
Becker,2020,CHIPS,Becker_2020,18,15,2,MN18AF6716-2,8.952,1.053,21.1,35.9,0.969240238,1.079710145
Becker,2020,CHIPS,Becker_2020,19,14,2,Atlantic,36.42,1.062,20.6,35.7,0.988673305,1.071662979
Becker,2020,CHIPS,Becker_2020,20,13,2,MN18AF6717-10,53.646,1.046,13.8,45.2,0.981350453,1.130741443
Becker,2020,CHIPS,Becker_2020,21,12,2,MN18AF6717-2,57.783,1.067,13.9,41.75,0.990602817,1.08010906
Becker,2020,CHIPS,Becker_2020,22,11,2,MN18AF6717-3,46.389,1.047,13.9,37.8,0.989398803,1.15376389
Becker,2020,CHIPS,Becker_2020,23,10,2,MN18AF6717-6,54.731,1.047,26.85,38.3,0.987713505,1.060680675
Becker,2020,CHIPS,Becker_2020,24,9,2,MN18AF6717-7,23.398,1.049,25.5,36.6,0.970106657,1.172216537
Becker,2020,CHIPS,Becker_2020,25,8,2,MN18AF6717-9,47.407,1.055,24.75,40.6,0.965428626,1.257608418
Becker,2020,CHIPS,Becker_2020,26,7,2,MN18AF6718-1,49.848,1.068,13.3,40.5,NA,NA
Becker,2020,CHIPS,Becker_2020,27,6,2,MN18AF6720-2,8.952,1.068,16.35,45.95,0.99127774,1.054273645
Becker,2020,CHIPS,Becker_2020,28,5,2,Atlantic,56.698,1.066,15,38.6,0.989735774,1.061249981
Becker,2020,CHIPS,Becker_2020,29,4,2,MN18AF6722-2,46.661,1.076,18.5,38.6,0.965757829,1.025140591
Becker,2020,CHIPS,Becker_2020,30,3,2,MN18AF6724-5,51.34,1.064,13.1,NA,0.963393266,1.185342981
Becker,2020,CHIPS,Becker_2020,31,2,2,MN18AF6724-8,41.71,1.064,10.25,47.25,0.983280393,1.041542414
Becker,2020,CHIPS,Becker_2020,32,1,2,MN18AF6724-9,27.806,1.057,4.3,61.3,0.97918178,1.150244638
Becker,2020,CHIPS,Becker_2020,33,1,3,MN18AF6725-1,32.011,1.065,10.85,53.55,0.976320597,1.173648135
Becker,2020,CHIPS,Becker_2020,34,2,3,MN18AF6725-2,39.878,1.055,21.5,48.3,0.9894951,1.023185984
Becker,2020,CHIPS,Becker_2020,35,3,3,MN18AF6726-2,17.43,1.047,8.3,64.6,0.983816114,1.169227661
Becker,2020,CHIPS,Becker_2020,36,4,3,MN18AF6726-4,67.21,1.056,6.7,61.1,0.98654207,1.049814299
Becker,2020,CHIPS,Becker_2020,37,5,3,Atlantic,55.748,1.072,15.1,39,0.985606181,1.036564444
Becker,2020,CHIPS,Becker_2020,38,6,3,MN18AF6728-7,32.757,1.063,8.5,68,0.970519182,1.082556781
Becker,2020,CHIPS,Becker_2020,39,7,3,MN18AF6729-1,7.799,1.045,5.4,67.2,0.989509404,1.09827709
Becker,2020,CHIPS,Becker_2020,40,8,3,MN18AF6730-3,42.727,1.053,7.6,62.3,0.985421267,1.058297213
Becker,2020,CHIPS,Becker_2020,41,9,3,MN18AF6730-5,47.474,1.063,6.7,65.3,0.984753584,1.04632345
Becker,2020,CHIPS,Becker_2020,42,10,3,MN18AF6730-6,28.281,1.059,9.9,67.3,0.978012553,1.118098893
Becker,2020,CHIPS,Becker_2020,43,11,3,MN18AF6734-1,14.107,1.04,5.7,64.3,0.989607378,1.023964067
Becker,2020,CHIPS,Becker_2020,44,12,3,MN18AF6745-4,31.943,1.064,4.8,66.2,NA,NA
Becker,2020,CHIPS,Becker_2020,45,13,3,MN18W17039-12,31.333,1.057,7.2,60.7,0.981061528,1.17954949
Becker,2020,CHIPS,Becker_2020,46,14,3,Atlantic,43.948,1.071,16.5,41.5,0.991491945,1.148767521
Becker,2020,CHIPS,Becker_2020,47,15,3,MN18W17039-13,17.43,1.053,5.15,60.45,0.985757349,1.074937436
Becker,2020,CHIPS,Becker_2020,48,16,3,MN18W17043-14,43.676,1.058,6.6,58.1,NA,NA
Becker,2020,CHIPS,Becker_2020,49,16,4,MN18W17065-5,37.573,1.054,8.4,57.6,0.982265559,1.054347826
Becker,2020,CHIPS,Becker_2020,50,15,4,MN18W17065-7,30.248,1.06,5.4,60.1,0.98295345,1.110058844
Becker,2020,CHIPS,Becker_2020,51,14,4,MN18W17043-17,52.154,1.064,5.7,59.9,0.988662681,1.124983447
Becker,2020,CHIPS,Becker_2020,52,13,4,MN18W17092-7,22.177,1.06,6,55.7,NA,NA
Becker,2020,CHIPS,Becker_2020,53,12,4,MN18W17037-9,43.066,1.055,4.4,60.5,0.978328041,1.129039797
Becker,2020,CHIPS,Becker_2020,54,11,4,MN18W17037-11,36.42,1.105,6.2,60.6,0.988656332,1.182090627
Becker,2020,CHIPS,Becker_2020,55,10,4,Atlantic,48.695,1.07,23.6,34.5,0.96441305,1.181415929
Becker,2020,CHIPS,Becker_2020,56,9,4,MN18W17037-17,46.661,1.062,5.7,55.1,0.985632526,1.238460214
Becker,2020,CHIPS,Becker_2020,57,8,4,MN18W17037-19,49.848,1.056,3.1,60.4,0.984757082,1.080128205
Becker,2020,CHIPS,Becker_2020,58,7,4,MN18W17037-2,47.746,1.054,5.8,61.9,0.986175524,1.110287838
Becker,2020,CHIPS,Becker_2020,59,6,4,MN18W17037-20,39.539,1.06,5.6,63.5,0.980421872,1.192520923
Becker,2020,CHIPS,Becker_2020,60,5,4,MN18W17037-39,51.137,1.049,5.5,63.1,0.98480105,1.112985086
Becker,2020,CHIPS,Becker_2020,61,4,4,MN18W17037-41,45.779,1.059,5.6,60.6,0.984073338,1.054257885
Becker,2020,CHIPS,Becker_2020,62,3,4,MN18W17037-7,50.526,1.063,4.8,59.3,0.981914332,1.160467143
Becker,2020,CHIPS,Becker_2020,63,2,4,MN18W17039-1,48.966,1.058,4.3,57.9,0.983139481,1.102564102
Becker,2020,CHIPS,Becker_2020,64,1,4,Atlantic,55.816,1.066,15.5,43.05,0.990446321,1.053237918
Becker,2020,CHIPS,Becker_2020,65,1,5,MN18W17039-11,20.617,1.063,8.4,60.7,0.983473565,1.13141599
Becker,2020,CHIPS,Becker_2020,66,2,5,MN18W17039-19,40.557,1.062,4.5,60.6,0.979931265,1.086614173
Becker,2020,CHIPS,Becker_2020,67,3,5,MN18W17039-25,26.043,1.066,4.1,62.6,0.983455051,1.175594875
Becker,2020,CHIPS,Becker_2020,68,4,5,MN18W17043-13,42.252,1.065,3.2,63.2,0.985579847,1.081247259
Becker,2020,CHIPS,Becker_2020,69,5,5,MN18W17043-9,36.216,1.075,NA,NA,NA,NA
Becker,2020,CHIPS,Becker_2020,70,6,5,MN18W17047-1,19.532,1.071,6,60.2,0.989487824,1.111818697
Becker,2020,CHIPS,Becker_2020,71,7,5,MN18W17047-8,15.802,1.066,5.5,61.8,0.982389764,1.05781759
Becker,2020,CHIPS,Becker_2020,72,8,5,MN18W17052-15,42.456,1.07,7.1,60.8,0.98464105,1.13685671
Becker,2020,CHIPS,Becker_2020,73,9,5,Atlantic,45.914,1.065,18.3,39.4,0.962074881,1.211052216
Becker,2020,CHIPS,Becker_2020,74,10,5,MN18W17052-4,31.401,1.066,4.5,62.5,0.985090257,1.060248081
Becker,2020,CHIPS,Becker_2020,75,11,5,MN18W17052-5,25.84,1.046,5.2,59.9,0.989130453,1.164846588
Becker,2020,CHIPS,Becker_2020,76,12,5,MN18W17052-6,40.624,1.073,5,64,0.985024348,1.175435617
Becker,2020,CHIPS,Becker_2020,77,13,5,MN18W17052-9,21.567,1.062,7.8,57.7,0.984669496,1.086318797
Becker,2020,CHIPS,Becker_2020,78,14,5,MN18W17055-4,40.15,1.062,4.2,66.2,0.990767008,1.073946558
Becker,2020,CHIPS,Becker_2020,79,15,5,MN18W17055-8,33.775,1.068,5.8,57.1,0.986631486,1.157894737
Becker,2020,CHIPS,Becker_2020,80,16,5,MN18W17055-9,33.096,1.063,5.7,62.8,0.988210164,1.189886038
Becker,2020,CHIPS,Becker_2020,81,16,6,MN18W17057-1,27.196,1.064,5,60.8,0.98421999,1.132288099
Becker,2020,CHIPS,Becker_2020,82,15,6,Atlantic,45.44,1.057,25.75,38.95,0.973589338,1.163009564
Becker,2020,CHIPS,Becker_2020,83,14,6,MN18W17057-14,42.591,1.065,4.1,63,0.9887047,1.138955565
Becker,2020,CHIPS,Becker_2020,84,13,6,MN18W17057-2,37.098,1.062,4.5,60.5,0.979641403,1.23844732
Becker,2020,CHIPS,Becker_2020,85,12,6,MN18W17057-3,26.179,1.057,7.2,60.6,0.985626764,1.144653845
Becker,2020,CHIPS,Becker_2020,86,11,6,MN18W17057-4,31.333,1.059,5.7,62.2,0.984189046,1.157875172
Becker,2020,CHIPS,Becker_2020,87,10,6,MN18W17057-5,53.51,1.058,5.6,62.7,0.983383134,1.17695218
Becker,2020,CHIPS,Becker_2020,88,9,6,MN18W17057-6,50.391,1.053,5.5,57.6,0.983114731,1.133651339
Becker,2020,CHIPS,Becker_2020,89,8,6,MN18W17065-2,74.331,1.059,5.3,61,0.977034262,1.234316327
Becker,2020,CHIPS,Becker_2020,90,7,6,MN18W17065-4,54.799,1.058,5.25,58.75,0.984906918,1.208991274
Becker,2020,CHIPS,Becker_2020,91,6,6,Atlantic,49.509,1.059,29.9,39.55,0.973408512,1.178882027
Becker,2020,CHIPS,Becker_2020,92,5,6,MN18SR00045-1,NA,NA,6.1,65.7,0.987903249,1.058357688
Becker,2020,CHIPS,Becker_2020,93,4,6,MN18SR00045-3,NA,NA,3.6,62.6,0.980330548,1.194456192
Becker,2020,CHIPS,Becker_2020,94,3,6,MN18TX17748-1,40.285,1.053,4.9,65.2,0.984847491,1.090671574
Becker,2020,CHIPS,Becker_2020,95,2,6,MN18W17037-21,48.492,1.058,5.5,63.8,0.988093738,1.109704641
Becker,2020,CHIPS,Becker_2020,96,1,6,MN18W17037-24,44.355,1.056,7.3,57.1,0.983335777,1.117248722
Becker,2020,CHIPS,Becker_2020,97,1,7,MN18W17037-26,45.575,1.063,6.9,58.2,0.984973608,1.215926365
Becker,2020,CHIPS,Becker_2020,98,2,7,MN18W17037-27,49.712,1.062,4.8,62.5,0.984948651,1.09965742
Becker,2020,CHIPS,Becker_2020,99,3,7,MN18W17037-29,50.187,1.055,7,58.3,0.981505865,1.070339546
Becker,2020,CHIPS,Becker_2020,100,4,7,Atlantic,61.106,1.065,15.5,39.7,0.988050587,1.072626448
Becker,2020,CHIPS,Becker_2020,101,5,7,MN18TX17748-2,63.683,1.064,NA,NA,NA,NA
Becker,2020,CHIPS,Becker_2020,102,6,7,MN18W17037-38,31.876,1.057,4.9,61.5,0.988951998,1.115657366
Becker,2020,CHIPS,Becker_2020,103,7,7,MN18AF6734-3,16.955,1.048,6,68.1,0.983171127,1.08202373
Becker,2020,CHIPS,Becker_2020,104,8,7,MN18W17037-30,28.756,1.05,6.6,54.5,0.969151002,1.127720372
Becker,2020,CHIPS,Becker_2020,105,9,7,MN18W17037-32,72.704,1.054,4.8,60,0.980848594,1.121268657
Becker,2020,CHIPS,Becker_2020,106,10,7,MN18W17037-33,45.44,1.062,5.1,59.2,0.978137218,1.122021323
Becker,2020,CHIPS,Becker_2020,107,11,7,MN18W17037-34,42.456,1.062,9.4,58.2,0.972000236,1.220491321
Becker,2020,CHIPS,Becker_2020,108,12,7,MN18W17037-36,45.304,1.058,5.15,61.1,0.987444775,1.168228195
Becker,2020,CHIPS,Becker_2020,109,13,7,Atlantic,39.065,1.06,22.45,39.35,0.973683699,1.231000675
Becker,2020,CHIPS,Becker_2020,110,14,7,MN18W17037-37,47.881,1.065,5.1,58.6,0.986449103,1.097177402
Becker,2020,CHIPS,Becker_2020,111,15,7,MN18W17039-27,37.912,1.063,4.7,61.5,0.982518354,1.07767624
Becker,2020,CHIPS,Becker_2020,112,16,7,MN18W17039-5,47.474,1.073,5.9,58.6,0.982390165,1.07270894
Becker,2020,CHIPS,Becker_2020,113,16,8,MN18W17039-8,12.343,1.06,4.6,61.5,0.982719507,1.1477931
Becker,2020,CHIPS,Becker_2020,114,15,8,MN18W17043-1,36.148,1.066,6.2,59.3,0.97868634,1.052122561
Becker,2020,CHIPS,Becker_2020,115,14,8,MN18W17043-11,52.697,1.059,4.9,62.5,0.983964364,1.089297157
Becker,2020,CHIPS,Becker_2020,116,13,8,MN18W17043-12,54.46,1.067,4.8,61.6,0.985557055,1.147359506
Becker,2020,CHIPS,Becker_2020,117,12,8,MN18W17043-2,36.962,1.072,3.4,62.3,0.987062126,1.12243164
Becker,2020,CHIPS,Becker_2020,118,11,8,Atlantic,48.559,1.063,12.85,34.85,0.981560367,1.039846345
Becker,2020,CHIPS,Becker_2020,119,10,8,MN18W17043-3,51.204,1.074,4,58.9,0.989127231,1.128384687
Becker,2020,CHIPS,Becker_2020,120,9,8,MN18W17043-6,60.632,1.071,3.6,64.1,0.985296583,1.112419763
Becker,2020,CHIPS,Becker_2020,121,8,8,MN18W17043-7,71.483,1.059,4,59,0.978173954,1.248913202
Becker,2020,CHIPS,Becker_2020,122,7,8,MN18W17043-8,79.35,1.057,NA,NA,NA,NA
Becker,2020,CHIPS,Becker_2020,123,6,8,Atlantic,42.659,1.066,19,48.35,0.989567513,1.059246486
Becker,2021,CHIPS,Becker_2021,1,1,1,Lamoka,59.886,1.064102564,9.3,62.5,0.960554818,NA
Becker,2021,CHIPS,Becker_2021,2,2,1,MN18W17037-33,44.49,1.069883527,12.9,57.7,0.97891927,1.115017492
Becker,2021,CHIPS,Becker_2021,3,3,1,MN18W17043-6,35.267,1.069917203,10.7,59.3,0.984709503,1.105606811
Becker,2021,CHIPS,Becker_2021,4,4,1,MN19AF6866-12,44.287,1.071428571,11.7,58.3,0.989726145,1.074576271
Becker,2021,CHIPS,Becker_2021,6,6,1,MSFF038-3,50.052,1.07486631,9,63.9,0.9837098,1.081126921
Becker,2021,CHIPS,Becker_2021,7,7,1,MN18W17052-4,47.339,1.075075075,9.5,62.6,0.982717564,1.071510572
Becker,2021,CHIPS,Becker_2021,8,8,1,MN18W17037-21,33.978,1.063429138,8.2,59.5,0.9859162,1.081302549
Becker,2021,CHIPS,Becker_2021,9,9,1,MN19TX18054-2,57.376,1.073544433,8.7,61.7,0.981583278,1.18332923
Becker,2021,CHIPS,Becker_2021,10,10,1,MN18W17043-17,29.366,1.064,8.1,65,0.986407964,1.079432925
Becker,2021,CHIPS,Becker_2021,11,11,1,MSFF217-1,27.196,1.063559322,11.1,58.5,0.992429887,1.032300256
Becker,2021,CHIPS,Becker_2021,12,12,1,MN19AF6869-20,21.228,1.062193126,11.6,58.2,0.989643676,1.038427167
Becker,2021,CHIPS,Becker_2021,13,13,1,MN18AF6648-10,18.651,1.060377358,8.8,60.9,0.988744791,1.048480111
Becker,2021,CHIPS,Becker_2021,14,14,1,MN19TX18032-6,26.247,1.054117647,14,55.6,0.989874656,1.077333059
Becker,2021,CHIPS,Becker_2021,15,14,2,Snowden,34.385,1.074,12.6,57,0.977882758,1.073863636
Becker,2021,CHIPS,Becker_2021,16,13,2,MN18W17052-6,54.528,1.064859632,9.2,63.5,0.985539022,1.032705294
Becker,2021,CHIPS,Becker_2021,17,12,2,MN18W17057-5,21.024,NA,11.5,58,0.983171163,1.096352873
Becker,2021,CHIPS,Becker_2021,18,11,2,MN19TX18211-3,21.703,1.060718711,12.5,56,0.982041819,1.198590547
Becker,2021,CHIPS,Becker_2021,19,10,2,MN19AF6866-13,30.384,1.064030132,12.4,56.6,0.968304989,1.135222734
Becker,2021,CHIPS,Becker_2021,20,9,2,MN19TX18120-1,55.545,1.068403909,13.7,55.6,0.985766015,1.131005797
Becker,2021,CHIPS,Becker_2021,21,8,2,MN18W17037-27,30.723,1.064629847,11.9,56.3,0.987159149,1.049609784
Becker,2021,CHIPS,Becker_2021,22,7,2,MN18W17039-25,56.901,1.070484581,13.8,54.3,0.984360268,1.149751054
Becker,2021,CHIPS,Becker_2021,23,6,2,MN19AF6869-19,23.873,1.068206821,12.7,57.2,0.97952051,1.124568167
Becker,2021,CHIPS,Becker_2021,24,5,2,Lamoka,39.675,1.074881517,12,56.3,0.976205069,1.224922162
Becker,2021,CHIPS,Becker_2021,25,4,2,W17060-22,65.243,1.071269488,12.2,58,0.98574267,1.092155364
Becker,2021,CHIPS,Becker_2021,26,3,2,W17065-21,49.645,1.068157614,12.3,57.3,0.983386979,1.195368152
Becker,2021,CHIPS,Becker_2021,27,2,2,MN18W17057-1,28.485,1.063599459,11.6,57.2,0.985187994,1.105868035
Becker,2021,CHIPS,Becker_2021,28,1,2,MN19AF6866-11,20.957,1.057432432,7.4,63.8,0.986665483,1.088582243
Becker,2021,CHIPS,Becker_2021,29,1,3,MN19AF6866-1,19.397,1.05800464,10,59.4,0.968606569,1.06415012
Becker,2021,CHIPS,Becker_2021,30,2,3,MN19TX18092-1,47.067,1.053719008,13.3,57,0.988746639,1.108563448
Becker,2021,CHIPS,Becker_2021,31,3,3,Lamoka,29.773,1.06122449,9.8,59.5,NA,NA
Becker,2021,CHIPS,Becker_2021,32,4,3,MN18W17065-4,46.728,1.063202247,7.3,64.8,0.973884871,1.222905674
Becker,2021,CHIPS,Becker_2021,33,5,3,MN19TX18031-1,48.356,1.064421669,10.1,59.1,0.983700275,1.060752025
Becker,2021,CHIPS,Becker_2021,34,6,3,MN19TX18280-1,38.861,1.059633028,10.4,59.6,0.982918175,1.111959307
Becker,2021,CHIPS,Becker_2021,35,7,3,MN19AF6866-9,25.229,1.055993001,11.2,61,0.981849351,1.091299924
Becker,2021,CHIPS,Becker_2021,36,8,3,MN18W17037-26,35.267,1.065488565,15.3,54.3,0.984900206,1.051102861
